category,sub_category,aggregation_date,millions_of_dollar,pipeline_exc_datetime
Cereals and bakery products,Cereals,2001-09-01,27433.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,2001-12-01,27432.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,2002-11-01,27240.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,2002-03-01,27234.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,2002-02-01,27174.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,2000-12-01,27359.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,2000-10-01,27194.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,2000-11-01,27087.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1999-12-01,27600.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1999-09-01,26704.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1999-11-01,26607.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1985-12-01,26732.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1985-11-01,26679.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1985-09-01,26651.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1987-12-01,26489.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1987-11-01,26314.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1987-10-01,26271.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1997-03-01,26082.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1997-02-01,26035.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1997-04-01,25964.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1998-12-01,26200.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1998-11-01,26032.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1998-10-01,25971.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1986-01-01,26622.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1986-02-01,26252.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1986-03-01,26133.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1996-12-01,25730.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1996-11-01,25591.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1996-10-01,25497.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1984-11-01,25664.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1984-12-01,25550.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1984-09-01,25468.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1982-10-01,24504.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1982-07-01,24416.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1982-12-01,24391.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1995-12-01,24500.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1995-11-01,24185.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1995-10-01,24119.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1983-12-01,23670.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1983-11-01,23669.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1983-02-01,23603.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1994-12-01,23762.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1994-11-01,23676.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1994-10-01,23644.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1981-12-01,23176.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1981-10-01,22858.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1981-11-01,22858.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1993-12-01,22687.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1993-11-01,22565.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1993-10-01,22438.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1992-10-01,21904.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1992-11-01,21822.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1992-12-01,21807.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1980-12-01,22000.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1980-11-01,21849.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1980-10-01,21778.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1991-11-01,21023.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1991-05-01,20973.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1991-08-01,20955.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1990-11-01,20052.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1990-09-01,20022.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1990-12-01,19911.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1979-12-01,20077.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1979-11-01,20066.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1979-10-01,19600.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1989-12-01,18585.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1989-11-01,18287.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1989-10-01,18084.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1978-12-01,17442.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1978-11-01,17150.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1978-09-01,16869.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1988-11-01,16665.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1988-12-01,16652.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1988-10-01,16505.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1977-11-01,16517.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1977-12-01,16192.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1977-10-01,16098.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1976-12-01,15673.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1976-10-01,15614.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1976-08-01,15506.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1987-12-01,14972.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1987-11-01,14845.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1987-10-01,14797.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1975-11-01,14773.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1975-12-01,14772.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1975-08-01,14723.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1986-12-01,14114.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1986-11-01,14000.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1986-10-01,13910.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1974-11-01,13651.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1974-12-01,13468.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1974-10-01,13404.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1985-12-01,12929.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1985-11-01,12745.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1985-10-01,12532.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1984-11-01,12221.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1984-09-01,12185.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1984-12-01,12134.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1982-07-01,11786.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1982-05-01,11745.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1982-02-01,11720.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1981-12-01,11644.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1981-10-01,11583.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1981-11-01,11540.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1983-12-01,11300.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1983-11-01,11296.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1983-02-01,11247.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1973-12-01,11219.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1973-11-01,10963.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1973-10-01,10773.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1980-12-01,10758.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1980-11-01,10621.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1980-10-01,10516.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1972-10-01,10224.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1972-11-01,10185.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1972-12-01,10169.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1971-12-01,9486.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1971-11-01,9364.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1971-10-01,9308.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,2021-01-01,105334.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1979-12-01,9141.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1979-11-01,9081.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1979-10-01,8820.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1970-12-01,8726.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1970-11-01,8471.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1970-01-01,8378.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1969-10-01,8275.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1969-12-01,8247.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1969-11-01,8245.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1968-11-01,8015.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1968-12-01,7900.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1968-08-01,7897.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1967-12-01,7525.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1967-09-01,7373.0,2024-08-13 09:31:54
