category,sub_category,aggregation_date,millions_of_dollar,pipeline_exc_datetime,total_year_profit
Alcoholic beverages,Wine,2021-01-01,54832,2024/08/13 09:31:54,54832
Fresh fruits and vegetables,Vegetables (fresh),1969-12-01,4888,2024/08/13 09:31:54,54758
Fresh fruits and vegetables,Vegetables (fresh),1969-11-01,4802,2024/08/13 09:31:54,54758
Fresh fruits and vegetables,Vegetables (fresh),1969-10-01,4742,2024/08/13 09:31:54,54758
Sugar and sweets,Sugar and sweets,1967-12-01,4703,2024/08/13 09:31:54,54576
Sugar and sweets,Sugar and sweets,1967-09-01,4611,2024/08/13 09:31:54,54576
Sugar and sweets,Sugar and sweets,1967-11-01,4606,2024/08/13 09:31:54,54576
Alcoholic beverages,Spirits,1969-08-01,4643,2024/08/13 09:31:54,54566
Alcoholic beverages,Spirits,1969-11-01,4612,2024/08/13 09:31:54,54566
Alcoholic beverages,Spirits,1969-07-01,4600,2024/08/13 09:31:54,54566
Alcoholic beverages,Wine,1980-12-01,4966,2024/08/13 09:31:54,54516
Alcoholic beverages,Wine,1980-11-01,4911,2024/08/13 09:31:54,54516
Alcoholic beverages,Wine,1980-10-01,4791,2024/08/13 09:31:54,54516
Meats and poultry,Other meats,1973-12-01,4777,2024/08/13 09:31:54,54314
Meats and poultry,Other meats,1973-11-01,4721,2024/08/13 09:31:54,54314
Meats and poultry,Other meats,1973-07-01,4697,2024/08/13 09:31:54,54314
"Milk, dairy products, and eggs",Eggs,1996-12-01,4740,2024/08/13 09:31:54,54089
"Milk, dairy products, and eggs",Eggs,1996-11-01,4701,2024/08/13 09:31:54,54089
"Milk, dairy products, and eggs",Eggs,1996-10-01,4666,2024/08/13 09:31:54,54089
Fresh fruits and vegetables,Fruit (fresh),1975-07-01,4610,2024/08/13 09:31:54,53928
Fresh fruits and vegetables,Fruit (fresh),1975-08-01,4610,2024/08/13 09:31:54,53928
Fresh fruits and vegetables,Fruit (fresh),1975-09-01,4583,2024/08/13 09:31:54,53928
Sugar and sweets,Sugar and sweets,2021-01-01,53817,2024/08/13 09:31:54,53817
Fresh fruits and vegetables,Vegetables (fresh),1968-11-01,4544,2024/08/13 09:31:54,53688
Fresh fruits and vegetables,Vegetables (fresh),1968-08-01,4525,2024/08/13 09:31:54,53688
Fresh fruits and vegetables,Vegetables (fresh),1968-07-01,4517,2024/08/13 09:31:54,53688
Fresh fruits and vegetables,Fruit (fresh),1976-12-01,4611,2024/08/13 09:31:54,53604
Fresh fruits and vegetables,Fruit (fresh),1976-01-01,4565,2024/08/13 09:31:54,53604
Fresh fruits and vegetables,Fruit (fresh),1976-10-01,4516,2024/08/13 09:31:54,53604
Fats and oils,Fats and oils,1977-11-01,4879,2024/08/13 09:31:54,53547
Fats and oils,Fats and oils,1977-12-01,4799,2024/08/13 09:31:54,53547
Fats and oils,Fats and oils,1977-10-01,4724,2024/08/13 09:31:54,53547
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1961-09-01,4491,2024/08/13 09:31:54,53159
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1961-08-01,4481,2024/08/13 09:31:54,53159
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1961-06-01,4467,2024/08/13 09:31:54,53159
Meats and poultry,Pork,1971-01-01,4574,2024/08/13 09:31:54,52141
Meats and poultry,Pork,1971-02-01,4496,2024/08/13 09:31:54,52141
Meats and poultry,Pork,1971-04-01,4407,2024/08/13 09:31:54,52141
Sugar and sweets,Sugar and sweets,1966-11-01,4400,2024/08/13 09:31:54,52104
Sugar and sweets,Sugar and sweets,1966-12-01,4394,2024/08/13 09:31:54,52104
Sugar and sweets,Sugar and sweets,1966-07-01,4383,2024/08/13 09:31:54,52104
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1963-11-01,4456,2024/08/13 09:31:54,52076
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1963-12-01,4448,2024/08/13 09:31:54,52076
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1963-08-01,4412,2024/08/13 09:31:54,52076
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1962-02-01,4399,2024/08/13 09:31:54,51835
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1962-03-01,4382,2024/08/13 09:31:54,51835
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1962-01-01,4377,2024/08/13 09:31:54,51835
Fresh fruits and vegetables,Vegetables (fresh),1967-12-01,4460,2024/08/13 09:31:54,51720
Fresh fruits and vegetables,Vegetables (fresh),1967-09-01,4388,2024/08/13 09:31:54,51720
Fresh fruits and vegetables,Vegetables (fresh),1967-11-01,4376,2024/08/13 09:31:54,51720
Processed fruits and vegetables,Processed fruits and vegetables,1969-12-01,4447,2024/08/13 09:31:54,51566
Processed fruits and vegetables,Processed fruits and vegetables,1969-11-01,4423,2024/08/13 09:31:54,51566
Processed fruits and vegetables,Processed fruits and vegetables,1969-10-01,4417,2024/08/13 09:31:54,51566
"Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials",1980-12-01,4498,2024/08/13 09:31:54,51365
"Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials",1980-11-01,4457,2024/08/13 09:31:54,51365
"Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials",1980-10-01,4433,2024/08/13 09:31:54,51365
Alcoholic beverages,Beer,1966-12-01,4449,2024/08/13 09:31:54,51216
Alcoholic beverages,Beer,1966-11-01,4387,2024/08/13 09:31:54,51216
Alcoholic beverages,Beer,1966-09-01,4362,2024/08/13 09:31:54,51216
"Milk, dairy products, and eggs",Processed dairy products,1968-11-01,4490,2024/08/13 09:31:54,50619
"Milk, dairy products, and eggs",Processed dairy products,1968-12-01,4438,2024/08/13 09:31:54,50619
"Milk, dairy products, and eggs",Processed dairy products,1968-10-01,4375,2024/08/13 09:31:54,50619
Cereals and bakery products,Cereals,1973-12-01,4745,2024/08/13 09:31:54,50354
Cereals and bakery products,Cereals,1973-11-01,4604,2024/08/13 09:31:54,50354
Cereals and bakery products,Cereals,1973-10-01,4483,2024/08/13 09:31:54,50354
Fresh fruits and vegetables,Fruit (fresh),1974-11-01,4297,2024/08/13 09:31:54,50280
Fresh fruits and vegetables,Fruit (fresh),1974-10-01,4247,2024/08/13 09:31:54,50280
Fresh fruits and vegetables,Fruit (fresh),1974-09-01,4239,2024/08/13 09:31:54,50280
Meats and poultry,Pork,1969-12-01,4520,2024/08/13 09:31:54,49788
Meats and poultry,Pork,1969-11-01,4478,2024/08/13 09:31:54,49788
Meats and poultry,Pork,1969-10-01,4444,2024/08/13 09:31:54,49788
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1960-11-01,4282,2024/08/13 09:31:54,49214
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1960-12-01,4224,2024/08/13 09:31:54,49214
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1960-10-01,4171,2024/08/13 09:31:54,49214
Sugar and sweets,Sugar and sweets,1965-12-01,4278,2024/08/13 09:31:54,49056
Sugar and sweets,Sugar and sweets,1965-10-01,4267,2024/08/13 09:31:54,49056
Sugar and sweets,Sugar and sweets,1965-11-01,4187,2024/08/13 09:31:54,49056
"Milk, dairy products, and eggs",Eggs,1995-12-01,4267,2024/08/13 09:31:54,48792
"Milk, dairy products, and eggs",Eggs,1995-11-01,4189,2024/08/13 09:31:54,48792
"Milk, dairy products, and eggs",Eggs,1995-10-01,4156,2024/08/13 09:31:54,48792
Fresh fruits and vegetables,Vegetables (fresh),1966-12-01,4105,2024/08/13 09:31:54,48732
Fresh fruits and vegetables,Vegetables (fresh),1966-11-01,4102,2024/08/13 09:31:54,48732
Fresh fruits and vegetables,Vegetables (fresh),1966-07-01,4083,2024/08/13 09:31:54,48732
Fresh fruits and vegetables,Fruit (fresh),1973-07-01,4178,2024/08/13 09:31:54,48446
Fresh fruits and vegetables,Fruit (fresh),1973-12-01,4131,2024/08/13 09:31:54,48446
Fresh fruits and vegetables,Fruit (fresh),1973-09-01,4116,2024/08/13 09:31:54,48446
Alcoholic beverages,Spirits,1968-11-01,4359,2024/08/13 09:31:54,48391
Alcoholic beverages,Spirits,1968-10-01,4278,2024/08/13 09:31:54,48391
Alcoholic beverages,Spirits,1968-12-01,4231,2024/08/13 09:31:54,48391
Fish and seafood,Fish and seafood,1981-08-01,4048,2024/08/13 09:31:54,48073
Fish and seafood,Fish and seafood,1981-05-01,4042,2024/08/13 09:31:54,48073
Fish and seafood,Fish and seafood,1981-06-01,4042,2024/08/13 09:31:54,48073
Alcoholic beverages,Beer,1964-12-01,4095,2024/08/13 09:31:54,48036
Alcoholic beverages,Beer,1964-08-01,4082,2024/08/13 09:31:54,48036
Alcoholic beverages,Beer,1964-10-01,4078,2024/08/13 09:31:54,48036
Alcoholic beverages,Beer,1965-12-01,4076,2024/08/13 09:31:54,47963
Alcoholic beverages,Beer,1965-11-01,4064,2024/08/13 09:31:54,47963
Alcoholic beverages,Beer,1965-10-01,4056,2024/08/13 09:31:54,47963
Alcoholic beverages,Beer,1962-08-01,4061,2024/08/13 09:31:54,47940
Alcoholic beverages,Beer,1962-09-01,4041,2024/08/13 09:31:54,47940
Alcoholic beverages,Beer,1962-05-01,4024,2024/08/13 09:31:54,47940
Fresh fruits and vegetables,Fruit (fresh),2021-01-01,47148,2024/08/13 09:31:54,47148
Processed fruits and vegetables,Processed fruits and vegetables,1968-11-01,4184,2024/08/13 09:31:54,47061
Processed fruits and vegetables,Processed fruits and vegetables,1968-12-01,4137,2024/08/13 09:31:54,47061
Processed fruits and vegetables,Processed fruits and vegetables,1968-10-01,4075,2024/08/13 09:31:54,47061
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1959-12-01,4029,2024/08/13 09:31:54,46899
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1959-10-01,3964,2024/08/13 09:31:54,46899
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1959-09-01,3948,2024/08/13 09:31:54,46899
Meats and poultry,Other meats,1972-12-01,4139,2024/08/13 09:31:54,46764
Meats and poultry,Other meats,1972-11-01,4106,2024/08/13 09:31:54,46764
Meats and poultry,Other meats,1972-10-01,4084,2024/08/13 09:31:54,46764
Fresh fruits and vegetables,Vegetables (fresh),1965-10-01,4072,2024/08/13 09:31:54,46740
Fresh fruits and vegetables,Vegetables (fresh),1965-12-01,4067,2024/08/13 09:31:54,46740
Fresh fruits and vegetables,Vegetables (fresh),1965-11-01,3989,2024/08/13 09:31:54,46740
Fats and oils,Fats and oils,1976-01-01,4148,2024/08/13 09:31:54,46382
Fats and oils,Fats and oils,1976-02-01,3986,2024/08/13 09:31:54,46382
Fats and oils,Fats and oils,1976-12-01,3926,2024/08/13 09:31:54,46382
Fish and seafood,Fish and seafood,1982-12-01,4148,2024/08/13 09:31:54,46296
Fish and seafood,Fish and seafood,1982-11-01,3988,2024/08/13 09:31:54,46296
Fish and seafood,Fish and seafood,1982-10-01,3961,2024/08/13 09:31:54,46296
Sugar and sweets,Sugar and sweets,1964-12-01,4053,2024/08/13 09:31:54,46236
Sugar and sweets,Sugar and sweets,1964-08-01,3949,2024/08/13 09:31:54,46236
Sugar and sweets,Sugar and sweets,1964-10-01,3949,2024/08/13 09:31:54,46236
Meats and poultry,Other meats,1970-12-01,3864,2024/08/13 09:31:54,45935
Meats and poultry,Other meats,1970-09-01,3853,2024/08/13 09:31:54,45935
Meats and poultry,Other meats,1970-06-01,3851,2024/08/13 09:31:54,45935
"Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials",1979-12-01,4019,2024/08/13 09:31:54,45596
"Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials",1979-11-01,4013,2024/08/13 09:31:54,45596
"Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials",1979-10-01,3918,2024/08/13 09:31:54,45596
Fish and seafood,Fish and seafood,1980-12-01,3901,2024/08/13 09:31:54,45576
Fish and seafood,Fish and seafood,1980-11-01,3873,2024/08/13 09:31:54,45576
Fish and seafood,Fish and seafood,1980-10-01,3862,2024/08/13 09:31:54,45576
Alcoholic beverages,Beer,1963-01-01,3912,2024/08/13 09:31:54,45479
Alcoholic beverages,Beer,1963-02-01,3840,2024/08/13 09:31:54,45479
Alcoholic beverages,Beer,1963-03-01,3826,2024/08/13 09:31:54,45479
Meats and poultry,Poultry,1970-09-01,3921,2024/08/13 09:31:54,44807
Meats and poultry,Poultry,1970-12-01,3872,2024/08/13 09:31:54,44807
Meats and poultry,Poultry,1970-08-01,3865,2024/08/13 09:31:54,44807
Alcoholic beverages,Beer,1961-12-01,3806,2024/08/13 09:31:54,44591
Alcoholic beverages,Beer,1961-01-01,3769,2024/08/13 09:31:54,44591
Alcoholic beverages,Beer,1961-11-01,3747,2024/08/13 09:31:54,44591
Fresh fruits and vegetables,Vegetables (fresh),1962-09-01,3791,2024/08/13 09:31:54,44532
Fresh fruits and vegetables,Vegetables (fresh),1962-08-01,3739,2024/08/13 09:31:54,44532
Fresh fruits and vegetables,Vegetables (fresh),1962-05-01,3734,2024/08/13 09:31:54,44532
"Milk, dairy products, and eggs",Eggs,1994-12-01,3885,2024/08/13 09:31:54,44301
"Milk, dairy products, and eggs",Eggs,1994-11-01,3850,2024/08/13 09:31:54,44301
"Milk, dairy products, and eggs",Eggs,1994-10-01,3824,2024/08/13 09:31:54,44301
Meats and poultry,Pork,1967-04-01,3731,2024/08/13 09:31:54,44268
Meats and poultry,Pork,1967-06-01,3727,2024/08/13 09:31:54,44268
Meats and poultry,Pork,1967-03-01,3719,2024/08/13 09:31:54,44268
Fresh fruits and vegetables,Vegetables (fresh),1964-12-01,3820,2024/08/13 09:31:54,44172
Fresh fruits and vegetables,Vegetables (fresh),1964-08-01,3736,2024/08/13 09:31:54,44172
Fresh fruits and vegetables,Vegetables (fresh),1964-09-01,3724,2024/08/13 09:31:54,44172
"Milk, dairy products, and eggs",Processed dairy products,1967-12-01,3877,2024/08/13 09:31:54,44161
"Milk, dairy products, and eggs",Processed dairy products,1967-11-01,3765,2024/08/13 09:31:54,44161
"Milk, dairy products, and eggs",Processed dairy products,1967-10-01,3722,2024/08/13 09:31:54,44161
Alcoholic beverages,Beer,1960-11-01,3787,2024/08/13 09:31:54,44063
Alcoholic beverages,Beer,1960-07-01,3777,2024/08/13 09:31:54,44063
Alcoholic beverages,Beer,1960-12-01,3720,2024/08/13 09:31:54,44063
Meats and poultry,Other meats,1971-01-01,3747,2024/08/13 09:31:54,43947
Meats and poultry,Other meats,1971-02-01,3720,2024/08/13 09:31:54,43947
Meats and poultry,Other meats,1971-04-01,3703,2024/08/13 09:31:54,43947
"Milk, dairy products, and eggs",Processed dairy products,1966-04-01,3698,2024/08/13 09:31:54,43892
"Milk, dairy products, and eggs",Processed dairy products,1966-07-01,3697,2024/08/13 09:31:54,43892
"Milk, dairy products, and eggs",Processed dairy products,1966-03-01,3682,2024/08/13 09:31:54,43892
Fresh fruits and vegetables,Fruit (fresh),1972-12-01,3830,2024/08/13 09:31:54,43464
Fresh fruits and vegetables,Fruit (fresh),1972-11-01,3819,2024/08/13 09:31:54,43464
Fresh fruits and vegetables,Fruit (fresh),1972-10-01,3813,2024/08/13 09:31:54,43464
Alcoholic beverages,Wine,1979-12-01,4113,2024/08/13 09:31:54,43404
Alcoholic beverages,Wine,1979-11-01,3993,2024/08/13 09:31:54,43404
Alcoholic beverages,Wine,1979-09-01,3862,2024/08/13 09:31:54,43404
Processed fruits and vegetables,Processed fruits and vegetables,1966-04-01,3666,2024/08/13 09:31:54,43156
Processed fruits and vegetables,Processed fruits and vegetables,1966-03-01,3652,2024/08/13 09:31:54,43156
Processed fruits and vegetables,Processed fruits and vegetables,1966-07-01,3644,2024/08/13 09:31:54,43156
Fresh fruits and vegetables,Vegetables (fresh),1961-12-01,3635,2024/08/13 09:31:54,43128
Fresh fruits and vegetables,Vegetables (fresh),1961-09-01,3615,2024/08/13 09:31:54,43128
Fresh fruits and vegetables,Vegetables (fresh),1961-04-01,3606,2024/08/13 09:31:54,43128
Meats and poultry,Poultry,1972-12-01,4069,2024/08/13 09:31:54,43128
Meats and poultry,Poultry,1972-11-01,3985,2024/08/13 09:31:54,43128
Meats and poultry,Poultry,1972-10-01,3911,2024/08/13 09:31:54,43128
Meats and poultry,Other meats,1969-12-01,3729,2024/08/13 09:31:54,43092
Meats and poultry,Other meats,1969-11-01,3714,2024/08/13 09:31:54,43092
Meats and poultry,Other meats,1969-10-01,3712,2024/08/13 09:31:54,43092
Fresh fruits and vegetables,Vegetables (fresh),1963-01-01,3689,2024/08/13 09:31:54,43068
Fresh fruits and vegetables,Vegetables (fresh),1963-02-01,3644,2024/08/13 09:31:54,43068
Fresh fruits and vegetables,Vegetables (fresh),1963-03-01,3629,2024/08/13 09:31:54,43068
Cereals and bakery products,Cereals,1972-12-01,3770,2024/08/13 09:31:54,42828
Cereals and bakery products,Cereals,1972-11-01,3733,2024/08/13 09:31:54,42828
Cereals and bakery products,Cereals,1972-10-01,3709,2024/08/13 09:31:54,42828
Fish and seafood,Fish and seafood,1979-11-01,3716,2024/08/13 09:31:54,42780
Fish and seafood,Fish and seafood,1979-12-01,3700,2024/08/13 09:31:54,42780
Fish and seafood,Fish and seafood,1979-09-01,3649,2024/08/13 09:31:54,42780
Meats and poultry,Pork,1966-11-01,3642,2024/08/13 09:31:54,42420
Meats and poultry,Pork,1966-12-01,3632,2024/08/13 09:31:54,42420
Meats and poultry,Pork,1966-09-01,3620,2024/08/13 09:31:54,42420
Meats and poultry,Pork,1968-11-01,3659,2024/08/13 09:31:54,42396
Meats and poultry,Pork,1968-12-01,3657,2024/08/13 09:31:54,42396
Meats and poultry,Pork,1968-01-01,3573,2024/08/13 09:31:54,42396
Fresh fruits and vegetables,Vegetables (fresh),1960-11-01,3610,2024/08/13 09:31:54,42180
Fresh fruits and vegetables,Vegetables (fresh),1960-04-01,3557,2024/08/13 09:31:54,42180
Fresh fruits and vegetables,Vegetables (fresh),1960-07-01,3555,2024/08/13 09:31:54,42180
Sugar and sweets,Sugar and sweets,1960-11-01,3601,2024/08/13 09:31:54,41952
Sugar and sweets,Sugar and sweets,1960-07-01,3558,2024/08/13 09:31:54,41952
Sugar and sweets,Sugar and sweets,1960-10-01,3535,2024/08/13 09:31:54,41952
Sugar and sweets,Sugar and sweets,1963-11-01,3572,2024/08/13 09:31:54,41808
Sugar and sweets,Sugar and sweets,1963-12-01,3570,2024/08/13 09:31:54,41808
Sugar and sweets,Sugar and sweets,1961-02-01,3553,2024/08/13 09:31:54,41808
Sugar and sweets,Sugar and sweets,1961-01-01,3551,2024/08/13 09:31:54,41808
Sugar and sweets,Sugar and sweets,1961-03-01,3546,2024/08/13 09:31:54,41808
Sugar and sweets,Sugar and sweets,1963-08-01,3537,2024/08/13 09:31:54,41808
Fats and oils,Fats and oils,1973-12-01,3931,2024/08/13 09:31:54,41786
Fats and oils,Fats and oils,1973-11-01,3793,2024/08/13 09:31:54,41786
Fats and oils,Fats and oils,1973-10-01,3679,2024/08/13 09:31:54,41786
"Milk, dairy products, and eggs",Processed dairy products,1965-12-01,3635,2024/08/13 09:31:54,41651
"Milk, dairy products, and eggs",Processed dairy products,1965-10-01,3632,2024/08/13 09:31:54,41651
"Milk, dairy products, and eggs",Processed dairy products,1965-11-01,3562,2024/08/13 09:31:54,41651
Alcoholic beverages,Beer,1959-12-01,3593,2024/08/13 09:31:54,41629
Alcoholic beverages,Beer,1959-10-01,3537,2024/08/13 09:31:54,41629
Alcoholic beverages,Beer,1959-09-01,3523,2024/08/13 09:31:54,41629
Alcoholic beverages,Spirits,1967-12-01,3620,2024/08/13 09:31:54,41523
Alcoholic beverages,Spirits,1967-11-01,3518,2024/08/13 09:31:54,41523
Alcoholic beverages,Spirits,1967-09-01,3500,2024/08/13 09:31:54,41523
Processed fruits and vegetables,Processed fruits and vegetables,1967-12-01,3604,2024/08/13 09:31:54,41479
Processed fruits and vegetables,Processed fruits and vegetables,1967-01-01,3510,2024/08/13 09:31:54,41479
Processed fruits and vegetables,Processed fruits and vegetables,1967-11-01,3497,2024/08/13 09:31:54,41479
Sugar and sweets,Sugar and sweets,1962-09-01,3507,2024/08/13 09:31:54,41352
Sugar and sweets,Sugar and sweets,1962-10-01,3462,2024/08/13 09:31:54,41352
Sugar and sweets,Sugar and sweets,1962-11-01,3456,2024/08/13 09:31:54,41352
Alcoholic beverages,Spirits,1966-04-01,3514,2024/08/13 09:31:54,41165
Alcoholic beverages,Spirits,1966-12-01,3455,2024/08/13 09:31:54,41165
Alcoholic beverages,Spirits,1966-09-01,3454,2024/08/13 09:31:54,41165
Processed fruits and vegetables,Processed fruits and vegetables,1965-12-01,3595,2024/08/13 09:31:54,40934
Processed fruits and vegetables,Processed fruits and vegetables,1965-10-01,3592,2024/08/13 09:31:54,40934
Processed fruits and vegetables,Processed fruits and vegetables,1965-11-01,3524,2024/08/13 09:31:54,40934
"Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials",1978-12-01,3578,2024/08/13 09:31:54,40927
"Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials",1978-11-01,3526,2024/08/13 09:31:54,40927
"Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials",1978-09-01,3481,2024/08/13 09:31:54,40927
Fresh fruits and vegetables,Vegetables (fresh),1959-12-01,3472,2024/08/13 09:31:54,40596
Fresh fruits and vegetables,Vegetables (fresh),1959-10-01,3423,2024/08/13 09:31:54,40596
Fresh fruits and vegetables,Vegetables (fresh),1959-09-01,3413,2024/08/13 09:31:54,40596
Meats and poultry,Pork,2021-01-01,40087,2024/08/13 09:31:54,40087
Meats and poultry,Other meats,2021-01-01,40027,2024/08/13 09:31:54,40027
Meats and poultry,Poultry,1971-01-01,3685,2024/08/13 09:31:54,39964
Meats and poultry,Poultry,1971-02-01,3581,2024/08/13 09:31:54,39964
Meats and poultry,Poultry,1971-03-01,3466,2024/08/13 09:31:54,39964
Fats and oils,Fats and oils,1972-03-01,3383,2024/08/13 09:31:54,39931
Fats and oils,Fats and oils,1972-02-01,3378,2024/08/13 09:31:54,39931
Fats and oils,Fats and oils,1972-04-01,3374,2024/08/13 09:31:54,39931
Fats and oils,Fats and oils,1971-10-01,3466,2024/08/13 09:31:54,39864
Fats and oils,Fats and oils,1971-12-01,3459,2024/08/13 09:31:54,39864
Fats and oils,Fats and oils,1971-11-01,3456,2024/08/13 09:31:54,39864
Meats and poultry,Other meats,1968-11-01,3433,2024/08/13 09:31:54,39756
Meats and poultry,Other meats,1968-12-01,3397,2024/08/13 09:31:54,39756
Meats and poultry,Other meats,1968-08-01,3359,2024/08/13 09:31:54,39756
Cereals and bakery products,Cereals,1971-12-01,3451,2024/08/13 09:31:54,39375
Cereals and bakery products,Cereals,1971-11-01,3411,2024/08/13 09:31:54,39375
Cereals and bakery products,Cereals,1971-10-01,3394,2024/08/13 09:31:54,39375
"Milk, dairy products, and eggs",Eggs,1993-12-01,3466,2024/08/13 09:31:54,39363
"Milk, dairy products, and eggs",Eggs,1993-11-01,3427,2024/08/13 09:31:54,39363
"Milk, dairy products, and eggs",Eggs,1993-10-01,3388,2024/08/13 09:31:54,39363
Alcoholic beverages,Spirits,2021-01-01,39325,2024/08/13 09:31:54,39325
"Milk, dairy products, and eggs",Processed dairy products,1964-12-01,3409,2024/08/13 09:31:54,39152
"Milk, dairy products, and eggs",Processed dairy products,1964-08-01,3324,2024/08/13 09:31:54,39152
"Milk, dairy products, and eggs",Processed dairy products,1964-10-01,3318,2024/08/13 09:31:54,39152
Fresh fruits and vegetables,Fruit (fresh),1971-01-01,3318,2024/08/13 09:31:54,39028
Fresh fruits and vegetables,Fruit (fresh),1971-12-01,3312,2024/08/13 09:31:54,39028
Fresh fruits and vegetables,Fruit (fresh),1971-02-01,3285,2024/08/13 09:31:54,39028
Sugar and sweets,Sugar and sweets,1959-12-01,3372,2024/08/13 09:31:54,38916
Sugar and sweets,Sugar and sweets,1959-10-01,3301,2024/08/13 09:31:54,38916
Sugar and sweets,Sugar and sweets,1959-11-01,3288,2024/08/13 09:31:54,38916
Fresh fruits and vegetables,Fruit (fresh),1970-12-01,3428,2024/08/13 09:31:54,38591
Fresh fruits and vegetables,Fruit (fresh),1970-11-01,3365,2024/08/13 09:31:54,38591
Fresh fruits and vegetables,Fruit (fresh),1970-09-01,3360,2024/08/13 09:31:54,38591
Alcoholic beverages,Spirits,1965-12-01,3378,2024/08/13 09:31:54,38267
Alcoholic beverages,Spirits,1965-11-01,3372,2024/08/13 09:31:54,38267
Alcoholic beverages,Spirits,1965-10-01,3363,2024/08/13 09:31:54,38267
Meats and poultry,Other meats,1967-12-01,3263,2024/08/13 09:31:54,38088
Meats and poultry,Other meats,1967-09-01,3207,2024/08/13 09:31:54,38088
Meats and poultry,Other meats,1967-11-01,3197,2024/08/13 09:31:54,38088
Fish and seafood,Fish and seafood,1978-12-01,3346,2024/08/13 09:31:54,38053
Fish and seafood,Fish and seafood,1978-11-01,3296,2024/08/13 09:31:54,38053
Fish and seafood,Fish and seafood,1978-09-01,3248,2024/08/13 09:31:54,38053
Processed fruits and vegetables,Processed fruits and vegetables,1964-12-01,3295,2024/08/13 09:31:54,37685
Processed fruits and vegetables,Processed fruits and vegetables,1964-10-01,3195,2024/08/13 09:31:54,37685
Processed fruits and vegetables,Processed fruits and vegetables,1964-08-01,3191,2024/08/13 09:31:54,37685
"Milk, dairy products, and eggs",Processed dairy products,1959-06-01,3173,2024/08/13 09:31:54,37669
"Milk, dairy products, and eggs",Processed dairy products,1959-05-01,3167,2024/08/13 09:31:54,37669
"Milk, dairy products, and eggs",Processed dairy products,1959-01-01,3165,2024/08/13 09:31:54,37669
"Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials",1977-11-01,3326,2024/08/13 09:31:54,37185
"Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials",1977-12-01,3269,2024/08/13 09:31:54,37185
"Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials",1977-10-01,3227,2024/08/13 09:31:54,37185
Meats and poultry,Pork,1965-12-01,3326,2024/08/13 09:31:54,37116
Meats and poultry,Pork,1965-10-01,3268,2024/08/13 09:31:54,37116
Meats and poultry,Pork,1965-11-01,3230,2024/08/13 09:31:54,37116
Fresh fruits and vegetables,Fruit (fresh),1968-07-01,3156,2024/08/13 09:31:54,36876
Fresh fruits and vegetables,Fruit (fresh),1968-08-01,3156,2024/08/13 09:31:54,36876
Fresh fruits and vegetables,Fruit (fresh),1968-06-01,3151,2024/08/13 09:31:54,36876
"Milk, dairy products, and eggs",Processed dairy products,1961-04-01,3096,2024/08/13 09:31:54,36799
"Milk, dairy products, and eggs",Processed dairy products,1961-06-01,3093,2024/08/13 09:31:54,36799
"Milk, dairy products, and eggs",Processed dairy products,1961-09-01,3093,2024/08/13 09:31:54,36799
Meats and poultry,Other meats,1966-11-01,3101,2024/08/13 09:31:54,36624
Meats and poultry,Other meats,1966-12-01,3094,2024/08/13 09:31:54,36624
Meats and poultry,Other meats,1966-07-01,3090,2024/08/13 09:31:54,36624
"Milk, dairy products, and eggs",Processed dairy products,1963-11-01,3099,2024/08/13 09:31:54,36195
"Milk, dairy products, and eggs",Processed dairy products,1963-12-01,3088,2024/08/13 09:31:54,36195
